종목명,부도기사비율,1m_ratio,2m_ratio,3m_ratio,4m_ratio,5m_ratio,6m_ratio
승화프리텍,21.35922330097087,14.563106796116504,15.53398058252427,22.330097087378643,7.766990291262135,23.300970873786408,16.50485436893204
시큐브,15.277777777777779,8.333333333333332,29.166666666666668,4.166666666666666,40.27777777777778,15.277777777777779,2.7777777777777777
신라섬유,28.57142857142857,4.285714285714286,11.428571428571429,11.428571428571429,34.285714285714285,25.71428571428571,12.857142857142856
신라젠,14.327485380116958,19.005847953216374,23.391812865497073,7.602339181286549,50.0,0.0,0.0
쌍용건설,76.81289167412713,11.996418979409132,12.891674127126231,7.788719785138765,9.042076991942704,15.66696508504924,42.614145031333926
쌍용정보통신,31.25,0.0,31.25,0.0,25.0,25.0,18.75
썬코어,11.646586345381527,34.53815261044177,22.89156626506024,8.433734939759036,4.819277108433735,12.449799196787147,16.867469879518072
썬텍,5.0,23.75,41.25,5.0,13.750000000000002,8.75,7.5
씨그널엔터테인먼트그룹,36.84210526315789,0.0,0.0,42.10526315789473,5.263157894736842,21.052631578947366,31.57894736842105
씨씨에스,4.444444444444445,20.0,17.77777777777778,4.444444444444445,6.666666666666667,2.2222222222222223,48.888888888888886
씨앤에스테크놀로지,50.0,0.0,33.33333333333333,0.0,0.0,0.0,66.66666666666666
씨앤케이인터,0.0,16.666666666666664,8.333333333333332,0.0,16.666666666666664,33.33333333333333,25.0
씨엔플러스,27.173913043478258,7.608695652173914,13.043478260869565,20.652173913043477,21.73913043478261,26.08695652173913,10.869565217391305
씨엘인터내셔널,12.962962962962962,0.0,0.0,0.0,18.51851851851852,35.18518518518518,46.2962962962963
아리온,12.587412587412588,2.797202797202797,18.181818181818183,18.181818181818183,7.6923076923076925,24.475524475524477,28.671328671328673
아이디에스,18.75,50.0,3.125,6.25,28.125,12.5,0.0
아이디엔,9.090909090909092,22.727272727272727,4.545454545454546,54.54545454545454,0.0,9.090909090909092,9.090909090909092
아이앤씨,38.297872340425535,46.808510638297875,27.659574468085108,25.53191489361702,0.0,0.0,0.0
아이엠텍,22.413793103448278,7.758620689655173,6.896551724137931,31.896551724137932,7.758620689655173,7.758620689655173,37.93103448275862
아이이,0.0,26.190476190476193,30.952380952380953,42.857142857142854,0.0,0.0,0.0
아큐텍,32.773109243697476,0.8403361344537815,41.17647058823529,19.327731092436977,10.084033613445378,15.126050420168067,13.445378151260504
아큐픽스,3.0303030303030303,4.545454545454546,0.0,16.666666666666664,31.818181818181817,28.78787878787879,18.181818181818183
알비케이이엠디,0.0,36.84210526315789,55.26315789473685,7.894736842105263,0.0,0.0,0.0
알서포트,22.22222222222222,25.925925925925924,62.96296296296296,3.7037037037037033,0.0,7.4074074074074066,0.0
알앤엘삼미,25.0,7.142857142857142,3.571428571428571,3.571428571428571,1.7857142857142856,25.0,58.92857142857143
알톤스포츠,27.397260273972602,41.0958904109589,8.21917808219178,8.21917808219178,4.10958904109589,15.068493150684931,23.28767123287671
알파홀딩스,14.285714285714285,31.428571428571427,11.428571428571429,17.142857142857142,11.428571428571429,12.380952380952381,16.19047619047619
에듀언스,32.075471698113205,27.358490566037734,14.150943396226415,15.09433962264151,20.754716981132077,16.037735849056602,6.60377358490566
에버테크노,13.636363636363635,27.27272727272727,9.090909090909092,18.181818181818183,36.36363636363637,0.0,9.090909090909092
에스디시스템,16.483516483516482,8.791208791208792,7.6923076923076925,29.67032967032967,13.186813186813188,26.373626373626376,14.285714285714285
에스마크,15.625,1.5625,50.0,0.0,3.125,29.6875,15.625
에스모,5.405405405405405,100.0,0.0,0.0,0.0,0.0,0.0
에스모머티리얼즈,0.0,50.0,0.0,50.0,0.0,0.0,0.0
에스비아이글로벌,0.0,0.0,0.0,0.0,100.0,0.0,0.0
에스비엠,17.441860465116278,5.232558139534884,6.395348837209303,11.046511627906977,11.046511627906977,5.813953488372093,60.46511627906976
에스아이티글로벌,8.737864077669903,7.766990291262135,41.74757281553398,9.70873786407767,40.77669902912621,0.0,0.0
에스앤더블류,12.5,0.0,29.166666666666668,16.666666666666664,25.0,12.5,16.666666666666664
에스에스컴텍,4.819277108433735,3.614457831325301,10.843373493975903,19.27710843373494,39.75903614457831,8.433734939759036,18.072289156626507
에스에프씨,4.411764705882353,22.058823529411764,14.705882352941178,1.4705882352941175,8.823529411764707,0.0,52.94117647058824
에스엔텍,10.344827586206897,31.03448275862069,27.586206896551722,41.37931034482759,0.0,0.0,0.0
에스엔텍비엠,7.4074074074074066,11.11111111111111,29.629629629629626,59.25925925925925,0.0,0.0,0.0
에이디칩스,18.487394957983195,7.563025210084033,10.92436974789916,24.369747899159663,16.80672268907563,14.285714285714285,26.05042016806723
에이스하이텍,0.0,0.0,0.0,7.6923076923076925,0.0,48.717948717948715,43.58974358974359
에이아이비트,9.45945945945946,24.324324324324326,9.45945945945946,17.56756756756757,24.324324324324326,16.216216216216218,8.108108108108109
에이치엔티,19.863013698630137,10.273972602739725,19.17808219178082,28.08219178082192,13.013698630136986,15.068493150684931,14.383561643835616
에이티세미콘,7.0588235294117645,18.823529411764707,34.11764705882353,10.588235294117647,0.0,11.76470588235294,24.705882352941178
에이프런티어,0.0,0.0,0.0,0.0,0.0,9.090909090909092,90.9090909090909
에임하이,10.714285714285714,14.285714285714285,14.285714285714285,7.142857142857142,46.42857142857143,7.142857142857142,10.714285714285714
에프티이앤이,25.806451612903224,6.451612903225806,6.451612903225806,9.67741935483871,35.483870967741936,20.43010752688172,21.50537634408602
엑스큐어,12.5,25.0,6.25,6.25,25.0,25.0,12.5
엔시트론,11.76470588235294,7.0588235294117645,32.94117647058823,14.117647058823529,12.941176470588237,11.76470588235294,21.176470588235293
엔에스브이,9.340659340659341,5.4945054945054945,14.835164835164836,37.91208791208791,12.087912087912088,15.934065934065933,13.736263736263737
엔지스테크널러지,12.5,17.857142857142858,14.285714285714285,37.5,14.285714285714285,12.5,3.571428571428571
엔케이바이오,14.018691588785046,11.214953271028037,28.971962616822427,5.607476635514018,1.8691588785046727,20.5607476635514,31.775700934579437
