회사명,시간,기간,기간 후
비엔씨컴퍼니,2016-03-22,2015-09-22,2016-02-22
엠제이비,2016-03-22,2015-09-22,2016-02-22
위메이드맥스,2016-03-22,2015-09-22,2016-02-22
케이엔씨글로벌,2016-04-12,2015-10-12,2016-03-12
소리바다,2016-09-19,2016-03-19,2016-08-19
CNT85,2016-11-14,2016-05-14,2016-10-14
골드퍼시픽,2017-01-18,2016-07-18,2016-12-18
스카이이앤엠,2017-03-23,2016-09-23,2017-02-23
디에스앤엘,2017-03-23,2016-09-23,2017-02-23
아이이,2017-03-29,2016-09-29,2017-02-28
씨그널엔터테인먼트그룹,2017-03-30,2016-09-30,2017-02-28
C&S자산관리,2017-08-14,2017-02-14,2017-07-14
코드네이처,2017-09-22,2017-03-22,2017-08-22
쌍용정보통신,2018-03-19,2017-09-19,2018-02-19
파티게임즈,2018-03-21,2017-09-21,2018-02-21
넥스지,2018-03-22,2017-09-22,2018-02-22
코너스톤네트웍스,2018-03-22,2017-09-22,2018-02-22
아이톡시,2018-03-22,2017-09-22,2018-02-22
세영디앤씨,2018-03-22,2017-09-22,2018-02-22
한솔인티큐브,2018-03-27,2017-09-27,2018-02-27
제이테크놀로지,2018-04-02,2017-10-02,2018-03-02
씨씨에스,2018-07-27,2018-01-27,2018-06-27
엠피대산,2018-08-14,2018-02-14,2018-07-14
지유온,2018-09-21,2018-03-21,2018-08-21
테라셈,2019-03-08,2018-09-08,2019-02-08
티사이언티픽,2019-03-14,2018-09-14,2019-02-14
내츄럴엔도텍,2019-03-18,2018-09-18,2019-02-18
KD,2019-03-18,2018-09-18,2019-02-18
액션스퀘어,2019-03-19,2018-09-19,2019-02-19
베노홀딩스,2019-03-20,2018-09-20,2019-02-20
커머스마이너,2019-03-20,2018-09-20,2019-02-20
디엑스앤브이엑스,2019-03-20,2018-09-20,2019-02-20
유테크,2019-03-21,2018-09-21,2019-02-21
에이트원,2019-03-21,2018-09-21,2019-02-21
셀바스AI,2019-03-28,2018-09-28,2019-02-28
퓨전,2019-04-01,2018-10-01,2019-03-01
한국가구,2019-04-16,2018-10-16,2019-03-16
레드로버,2019-07-19,2019-01-19,2019-06-19
오파스넷,2019-08-14,2019-02-14,2019-07-14
핸디소프트,2019-08-14,2019-02-14,2019-07-14
넥슨게임즈,2019-08-16,2019-02-16,2019-07-16
세토피아,2019-08-29,2019-02-28,2019-07-29
BNGT,2020-01-15,2019-07-15,2019-12-15
코나아이,2020-03-19,2019-09-19,2020-02-19
지더블유바이텍,2020-03-19,2019-09-19,2020-02-19
팍스넷,2020-03-23,2019-09-23,2020-02-23
한국코퍼레이션,2020-03-23,2019-09-23,2020-02-23
지스마트글로벌,2020-03-23,2019-09-23,2020-02-23
신라젠,2020-06-19,2019-12-19,2020-05-19
시큐브,2020-08-14,2020-02-14,2020-07-14
한창바이오텍,2020-08-14,2020-02-14,2020-07-14
엔지스테크널러지,2020-08-31,2020-02-29,2020-07-31
엑스큐어,2020-10-08,2020-04-08,2020-09-08
JH코오스,2012-04-13,2011-10-16,2012-03-13
디테크놀로지,2012-04-13,2011-10-16,2012-03-13
엔터미디어,2012-06-20,2011-12-23,2012-05-20
엔터기술,2012-06-20,2011-12-23,2012-05-20
GT&T,2012-08-14,2012-02-16,2012-07-14
티에스넥스젠,2012-08-14,2012-02-16,2012-07-14
위드윈네트웍,2012-08-14,2012-02-16,2012-07-14
유아이엠엔터,2012-08-14,2012-02-16,2012-07-14
에이치엘비파워,2012-08-14,2012-02-16,2012-07-14
메디콕스,2012-09-20,2012-03-24,2012-08-20
와이오엠,2012-09-20,2012-03-24,2012-08-20
스템싸이언스,2012-09-20,2012-03-24,2012-08-20
케이엠알앤씨,2012-09-20,2012-03-24,2012-08-20
신후,2012-09-20,2012-03-24,2012-08-20
네이처셀,2012-12-13,2012-06-16,2012-11-13
알앤엘삼미,2012-12-13,2012-06-16,2012-11-13
유에이블,2013-03-08,2012-09-09,2013-02-08
디웍스글로벌,2013-03-08,2012-09-09,2013-02-08
크라제비엠티,2013-03-08,2012-09-09,2013-02-08
크라제산업개발,2013-03-08,2012-09-09,2013-02-08
아이에이,2013-03-19,2012-09-20,2013-02-19
씨앤에스테크놀로지,2013-03-19,2012-09-20,2013-02-19
렉스엘이앤지,2013-03-21,2012-09-22,2013-02-21
기륭이앤이,2013-03-21,2012-09-22,2013-02-21
위너지스,2013-03-21,2012-09-22,2013-02-21
아이디엔,2013-03-21,2012-09-22,2013-02-21
카테아,2013-03-21,2012-09-22,2013-02-21
상지카일룸,2013-03-21,2012-09-22,2013-02-21
르네코,2013-03-21,2012-09-22,2013-02-21
포워드컴퍼니스,2013-03-21,2012-09-22,2013-02-21
에스비아이글로벌,2013-06-20,2012-12-22,2013-05-20
베리타스,2013-06-20,2012-12-22,2013-05-20
글로본,2013-06-20,2012-12-22,2013-05-20
삼표시멘트,2013-10-01,2013-04-04,2013-09-01
동양시멘트,2013-10-01,2013-04-04,2013-09-01
이매진아시아,2013-11-07,2013-05-11,2013-10-07
웰메이드스타엠,2013-11-07,2013-05-11,2013-10-07
웰메이드예당,2013-11-07,2013-05-11,2013-10-07
광무,2014-03-20,2013-09-21,2014-02-20
바른테크놀로지,2014-03-20,2013-09-21,2014-02-20
릭스솔루션,2014-03-20,2013-09-21,2014-02-20
골드앤에스,2014-03-20,2013-09-21,2014-02-20
에듀박스,2014-03-20,2013-09-21,2014-02-20
에이원앤,2014-03-20,2013-09-21,2014-02-20
더블유에프엠,2014-03-20,2013-09-21,2014-02-20
오성첨단소재,2014-03-21,2013-09-22,2014-02-21
오성엘에스티,2014-03-21,2013-09-22,2014-02-21
서울리거,2014-03-24,2013-09-25,2014-02-24
다스텍,2014-03-24,2013-09-25,2014-02-24
플레이텍,2014-03-24,2013-09-25,2014-02-24
로켓모바일,2014-03-24,2013-09-25,2014-02-24
애머릿지,2014-04-22,2013-10-24,2014-03-22
뉴프라이드코퍼레이션,2014-04-22,2013-10-24,2014-03-22
휴먼엔,2015-01-07,2014-07-11,2014-12-07
스틸앤리소시즈,2015-01-07,2014-07-11,2014-12-07
지엠알머티리얼즈,2015-01-07,2014-07-11,2014-12-07
글로스퍼랩스,2015-01-07,2014-07-11,2014-12-07
네오리진,2015-03-05,2014-09-06,2015-02-05
코닉글로리,2015-03-05,2014-09-06,2015-02-05
코세스,2015-03-19,2014-09-20,2015-02-19
고려반도체시스템,2015-03-19,2014-09-20,2015-02-19
미래SCI,2015-03-20,2014-09-21,2015-02-20
파캔오피씨,2015-03-20,2014-09-21,2015-02-20
스페로글로벌,2015-03-20,2014-09-21,2015-02-20
아이팩토리,2015-03-23,2014-09-24,2015-02-23
유비프리시젼,2015-03-23,2014-09-24,2015-02-23
케이엘티,2015-03-23,2014-09-24,2015-02-23
엘아이에스,2015-03-23,2014-09-24,2015-02-23
엘티에스,2015-03-23,2014-09-24,2015-02-23
에스제이케이,2015-03-23,2014-09-24,2015-02-23
세진전자,2015-03-23,2014-09-24,2015-02-23
